date,health_reg_name,health_org_name,admissions
2020-03-08,Midt,Helse Møre og Romsdal,0
2020-03-09,Midt,Helse Møre og Romsdal,0
2020-03-10,Midt,Helse Møre og Romsdal,0
2020-03-11,Midt,Helse Møre og Romsdal,0
2020-03-12,Midt,Helse Møre og Romsdal,0
2020-03-13,Midt,Helse Møre og Romsdal,1
2020-03-14,Midt,Helse Møre og Romsdal,1
2020-03-15,Midt,Helse Møre og Romsdal,1
2020-03-16,Midt,Helse Møre og Romsdal,1
2020-03-17,Midt,Helse Møre og Romsdal,1
2020-03-18,Midt,Helse Møre og Romsdal,2
2020-03-19,Midt,Helse Møre og Romsdal,2
2020-03-20,Midt,Helse Møre og Romsdal,4
2020-03-21,Midt,Helse Møre og Romsdal,4
2020-03-22,Midt,Helse Møre og Romsdal,4
2020-03-23,Midt,Helse Møre og Romsdal,4
2020-03-24,Midt,Helse Møre og Romsdal,3
2020-03-25,Midt,Helse Møre og Romsdal,3
2020-03-26,Midt,Helse Møre og Romsdal,3
2020-03-27,Midt,Helse Møre og Romsdal,6
2020-03-28,Midt,Helse Møre og Romsdal,6
2020-03-29,Midt,Helse Møre og Romsdal,6
2020-03-30,Midt,Helse Møre og Romsdal,6
2020-03-31,Midt,Helse Møre og Romsdal,7
2020-04-01,Midt,Helse Møre og Romsdal,8
2020-04-02,Midt,Helse Møre og Romsdal,7
2020-04-03,Midt,Helse Møre og Romsdal,7
2020-04-04,Midt,Helse Møre og Romsdal,8
2020-04-05,Midt,Helse Møre og Romsdal,8
2020-04-06,Midt,Helse Møre og Romsdal,8
2020-04-07,Midt,Helse Møre og Romsdal,9
2020-04-08,Midt,Helse Møre og Romsdal,9
2020-04-09,Midt,Helse Møre og Romsdal,9
2020-04-10,Midt,Helse Møre og Romsdal,9
2020-04-11,Midt,Helse Møre og Romsdal,10
2020-04-12,Midt,Helse Møre og Romsdal,8
2020-04-13,Midt,Helse Møre og Romsdal,7
2020-04-14,Midt,Helse Møre og Romsdal,7
2020-04-15,Midt,Helse Møre og Romsdal,5
2020-04-16,Midt,Helse Møre og Romsdal,6
2020-04-17,Midt,Helse Møre og Romsdal,6
2020-04-18,Midt,Helse Møre og Romsdal,6
2020-04-19,Midt,Helse Møre og Romsdal,6
2020-04-20,Midt,Helse Møre og Romsdal,6
2020-04-21,Midt,Helse Møre og Romsdal,6
2020-04-22,Midt,Helse Møre og Romsdal,6
2020-04-23,Midt,Helse Møre og Romsdal,7
2020-04-24,Midt,Helse Møre og Romsdal,6
2020-04-25,Midt,Helse Møre og Romsdal,5
2020-04-26,Midt,Helse Møre og Romsdal,5
2020-04-27,Midt,Helse Møre og Romsdal,5
2020-04-28,Midt,Helse Møre og Romsdal,2
2020-04-29,Midt,Helse Møre og Romsdal,2
