date,health_reg_name,admissions,respiratory
2020-03-08,Midt,0,0
2020-03-09,Midt,0,0
2020-03-10,Midt,1,0
2020-03-11,Midt,1,0
2020-03-12,Midt,2,0
2020-03-13,Midt,2,0
2020-03-14,Midt,3,0
2020-03-15,Midt,3,0
2020-03-16,Midt,3,1
2020-03-17,Midt,3,1
2020-03-18,Midt,6,2
2020-03-19,Midt,9,2
2020-03-20,Midt,13,2
2020-03-21,Midt,13,2
2020-03-22,Midt,13,3
2020-03-23,Midt,11,4
2020-03-24,Midt,11,4
2020-03-25,Midt,13,4
2020-03-26,Midt,12,4
2020-03-27,Midt,17,5
2020-03-28,Midt,18,5
2020-03-29,Midt,20,5
2020-03-30,Midt,19,6
2020-03-31,Midt,20,5
2020-04-01,Midt,21,7
2020-04-02,Midt,22,7
2020-04-03,Midt,20,7
2020-04-04,Midt,20,7
2020-04-05,Midt,22,6
2020-04-06,Midt,25,6
2020-04-07,Midt,25,6
2020-04-08,Midt,25,6
2020-04-09,Midt,23,6
2020-04-10,Midt,24,6
2020-04-11,Midt,25,6
2020-04-12,Midt,21,5
2020-04-13,Midt,20,5
2020-04-14,Midt,21,4
2020-04-15,Midt,17,4
2020-04-16,Midt,16,4
2020-04-17,Midt,14,4
2020-04-18,Midt,12,3
2020-04-19,Midt,12,3
2020-04-20,Midt,12,3
2020-04-21,Midt,11,3
2020-04-22,Midt,10,2
2020-04-23,Midt,10,2
2020-04-24,Midt,9,3
2020-04-25,Midt,7,3
2020-04-26,Midt,7,3
2020-04-27,Midt,7,3
2020-04-28,Midt,4,3
2020-04-29,Midt,5,3
2020-04-30,Midt,4,2
2020-05-01,Midt,3,2
2020-05-02,Midt,5,2
2020-05-03,Midt,5,2
2020-05-04,Midt,6,2
2020-05-05,Midt,6,2
2020-05-06,Midt,6,0
2020-05-07,Midt,5,0
2020-05-08,Midt,5,0
2020-05-09,Midt,7,0
2020-05-10,Midt,7,0
2020-05-11,Midt,6,0
2020-05-12,Midt,9,0
2020-05-13,Midt,9,0
2020-05-14,Midt,9,0
2020-05-15,Midt,6,0
2020-05-16,Midt,6,0
2020-05-17,Midt,5,0
2020-05-18,Midt,5,0
2020-05-19,Midt,5,0
2020-05-20,Midt,5,1
2020-05-21,Midt,5,1
2020-05-22,Midt,5,1
2020-05-23,Midt,4,1
2020-05-24,Midt,4,1
2020-05-25,Midt,4,1
2020-05-26,Midt,3,1
2020-05-27,Midt,3,1
2020-05-28,Midt,3,1
2020-05-29,Midt,3,1
2020-05-30,Midt,3,0
2020-05-31,Midt,3,0
2020-06-01,Midt,4,0
2020-06-02,Midt,4,0
2020-06-03,Midt,3,0
2020-06-04,Midt,3,0
2020-06-05,Midt,3,0
2020-06-08,Midt,3,0
2020-06-09,Midt,3,0
2020-06-10,Midt,3,0
2020-06-11,Midt,3,0
2020-06-12,Midt,3,0
2020-06-15,Midt,2,0
2020-06-16,Midt,2,0
2020-06-17,Midt,2,0
2020-06-18,Midt,2,0
2020-06-19,Midt,1,0
2020-06-22,Midt,1,0
2020-06-23,Midt,1,0
